id,quality_service,speed_service,quality_product,value_for_money,overall_sat
1,7,6,7,7,7
2,1,1,4,3,1
3,5,4,2,6,2
4,1,2,4,2,6
5,4,2,3,2,1
6,1,6,1,6,1
7,2,5,4,7,2
8,5,4,7,6,3
9,4,1,7,5,4
10,7,7,3,5,5
11,3,2,5,2,1
12,7,2,6,7,6
13,6,4,5,6,7
14,1,1,6,7,4
15,5,5,5,5,7
16,5,6,6,5,6
17,5,7,6,7,6
18,5,6,6,6,7
19,7,7,7,6,7
20,7,7,6,7,7
21,6,7,5,6,7
22,7,7,6,6,6
23,7,7,5,5,6
24,6,6,5,7,7
25,5,6,6,7,7
26,6,6,6,5,6
27,6,7,7,5,6
28,7,7,6,7,6
29,7,6,5,7,6
30,5,6,5,6,7
31,6,5,6,5,7
32,5,7,7,6,6
33,6,6,5,7,6
34,6,5,7,7,7
35,5,6,5,6,6
36,6,6,7,7,6
37,6,7,7,5,6
38,7,7,5,7,7
39,5,5,7,5,6
40,5,5,6,7,6
41,5,6,6,6,7
42,7,6,6,5,6
43,7,6,5,6,7
44,6,6,7,6,6
45,5,5,6,5,7
46,7,5,5,6,6
47,5,7,6,5,6
48,7,5,7,7,7
49,6,7,6,7,6
50,5,5,6,6,6
51,6,6,5,5,7
52,7,7,7,5,6
53,6,6,6,7,6
54,7,6,7,7,7
55,7,7,5,5,6
56,6,6,5,7,6
57,7,7,6,6,7
58,5,6,6,5,7
59,6,6,6,5,7
60,5,7,6,5,6
61,6,7,7,5,6
62,5,6,6,7,7
63,6,7,6,6,6
64,5,5,7,6,7
65,7,6,5,6,6
66,6,6,5,5,7
67,6,7,5,6,7
68,7,6,5,7,6
69,6,7,7,6,6
70,7,5,7,6,7
71,7,6,7,7,7
72,7,6,7,6,7
73,7,5,5,7,7
74,6,6,7,5,6
75,7,6,5,7,7
76,5,5,5,6,6
77,6,7,5,5,6
78,7,7,5,7,7
79,6,5,5,5,7
80,5,5,6,7,7
81,6,5,5,6,7
82,6,7,6,5,7
83,6,5,6,5,6
84,6,6,6,7,7
85,6,6,5,5,6
86,6,7,7,5,6
87,5,5,6,6,7
88,6,7,6,7,6
89,6,7,7,5,7
90,7,6,6,5,7
91,5,6,6,6,7
92,5,5,5,7,7
93,5,5,7,6,7
94,5,6,7,5,6
95,5,6,7,7,7
96,6,5,5,7,6
97,6,5,6,7,6
98,6,5,7,6,7
99,5,7,6,6,7
100,6,5,5,5,6
101,7,5,5,7,7
102,5,5,6,5,7
103,6,6,5,6,6
104,5,7,5,7,7
105,6,5,6,5,6
106,6,7,7,7,7
107,6,7,5,5,6
108,7,7,5,7,7
109,5,7,5,6,6
110,6,5,6,7,7
111,6,6,6,6,6
112,5,6,7,5,7
113,6,5,5,7,7
114,7,7,5,6,7
115,7,5,7,5,7
116,6,7,5,7,6
117,5,5,5,5,7
118,5,6,6,7,6
119,7,7,6,7,6
120,6,6,6,6,7
121,6,5,6,7,7
122,6,5,7,7,6
123,5,5,5,7,6
124,5,5,6,6,7
125,7,6,5,7,7
126,6,7,6,6,6
127,5,5,5,5,7
128,5,5,7,7,7
129,7,7,7,7,7
130,7,5,6,6,7
131,6,5,6,6,6
132,6,5,6,6,7
133,6,7,5,7,7
134,7,7,5,6,6
135,6,5,6,6,7
136,5,7,5,7,6
137,6,5,7,5,6
138,7,6,6,7,6
139,7,7,6,6,6
140,5,5,5,6,6
141,7,7,5,7,7
142,7,5,5,6,6
143,5,6,7,7,7
144,6,5,5,7,7
145,7,6,5,6,7
146,6,6,7,6,7
147,7,5,7,5,7
148,7,6,6,7,7
149,6,7,6,6,7
150,6,6,5,6,6
151,7,5,6,7,7
152,7,7,6,6,7
153,6,7,5,7,6
154,6,5,5,6,6
155,6,6,5,7,6
156,6,5,7,5,7
157,5,6,5,5,6
158,5,7,6,5,6
159,5,7,7,7,7
160,5,7,6,6,6
161,5,6,6,5,6
162,5,7,6,6,6
163,6,7,6,7,6
164,7,7,6,7,7
165,5,7,7,7,7
166,5,5,7,5,7
167,6,5,6,6,7
168,5,5,7,7,6
169,5,5,6,6,6
170,5,5,7,5,7
171,6,6,7,7,7
172,6,6,6,7,7
173,6,6,7,5,6
174,7,5,7,7,6
175,7,7,7,7,7
176,7,5,6,6,6
177,6,5,5,6,7
178,6,5,5,5,7
179,5,7,6,5,7
180,6,5,7,5,6
181,7,5,6,6,6
182,5,5,5,5,6
183,6,5,6,6,6
184,7,6,5,7,7
185,7,6,5,5,7
186,6,7,7,5,7
187,5,5,6,6,6
188,6,6,7,6,7
189,5,7,7,5,6
190,5,5,7,5,6
191,7,6,7,5,7
192,7,6,6,6,7
193,5,7,5,6,7
194,6,5,7,5,6
195,5,7,6,7,7
196,5,5,6,6,7
197,7,6,7,5,7
198,7,5,6,5,7
199,7,5,5,7,7
200,6,7,7,6,7
201,7,6,7,6,7
202,6,5,5,6,7
203,6,5,5,5,7
204,7,7,5,5,7
205,5,7,6,7,6
206,7,7,6,5,7
207,5,6,6,5,7
208,5,7,5,7,7
209,6,6,6,6,7
210,7,6,7,5,6
211,5,5,6,6,6
212,7,6,6,5,6
213,5,6,6,5,7
214,7,5,7,6,7
215,7,6,6,5,6
216,6,5,7,7,7
217,7,5,6,6,7
218,6,7,7,7,7
219,6,5,7,7,7
220,7,5,7,7,7
221,5,7,7,6,6
222,7,6,7,6,6
223,5,6,6,6,7
224,6,6,5,7,6
225,6,7,5,5,7
226,7,5,5,7,6
227,7,6,6,6,6
228,5,5,7,6,7
229,5,6,5,5,7
230,5,6,7,5,6
231,5,5,5,7,7
232,5,7,6,7,7
233,6,5,5,6,7
234,5,7,5,7,6
235,6,6,6,5,7
236,7,6,7,7,6
237,5,6,5,7,7
238,6,5,7,5,6
239,7,6,7,6,6
240,7,5,7,5,6
241,7,5,6,5,6
242,6,5,5,6,7
243,6,5,6,5,6
244,6,6,7,7,6
245,7,6,6,6,7
246,7,7,6,6,6
247,6,5,6,6,7
248,7,5,7,7,7
249,7,7,5,6,7
250,7,7,6,7,6
251,7,5,5,7,7
252,7,6,5,6,7
253,7,5,6,5,7
254,7,7,5,5,7
255,7,7,5,5,7
256,6,6,5,7,6
257,5,6,7,5,6
258,7,7,5,7,6
259,5,7,6,5,6
260,7,6,5,6,6
261,6,6,7,5,7
262,6,6,6,6,6
263,5,7,5,5,7
264,7,5,7,5,6
265,6,5,7,5,6
266,7,6,7,7,7
267,6,6,6,6,6
268,5,6,7,6,6
269,7,7,7,6,7
270,6,6,5,5,6
271,6,5,5,6,6
272,5,7,7,7,7
273,5,5,6,7,7
274,5,5,5,7,6
275,6,5,6,7,7
276,7,7,5,6,7
277,7,5,7,7,7
278,5,7,5,7,7
279,6,6,5,7,7
280,7,6,7,7,6
281,5,7,5,5,7
282,5,5,6,5,6
283,5,7,7,6,7
284,7,7,7,7,6
285,5,7,5,5,7
286,7,6,5,5,7
287,6,5,5,6,6
288,6,6,5,7,7
289,6,7,7,6,6
290,6,7,5,6,7
291,5,7,7,7,6
292,6,6,6,7,6
293,5,4,2,5,6
294,2,1,2,1,1
295,4,7,3,3,4
296,7,5,2,6,2
297,2,5,6,3,7
298,6,1,3,3,3
299,1,3,6,6,5
300,1,5,6,5,3
301,2,7,3,1,3
302,2,2,6,6,1
303,6,5,4,5,1
304,5,6,2,5,2
305,7,6,7,7,6
306,4,6,4,2,2
307,6,6,1,6,3
308,2,6,5,1,2
309,6,6,7,6,3
310,3,6,3,3,2
311,3,7,7,6,7
312,3,4,3,2,2
313,6,2,3,2,6
314,2,3,1,6,5
315,6,6,1,6,1
316,1,5,5,5,5
317,7,7,4,4,3
318,1,1,6,3,4
319,2,4,2,6,5
320,5,7,7,7,3
321,6,4,5,7,7
322,6,2,6,3,2
323,5,3,4,6,4
324,1,2,3,1,2
325,6,2,7,1,4
326,7,6,2,2,6
327,5,1,6,7,5
328,4,4,2,4,4
329,7,4,3,4,4
330,1,2,6,4,2
331,2,7,2,6,7
332,1,6,5,3,3
333,3,6,6,6,1
334,6,7,5,4,4
335,1,1,7,6,3
336,3,6,3,4,3
337,2,6,1,3,1
338,2,4,2,6,2
339,4,1,6,6,2
340,2,4,2,2,5
341,1,7,4,6,4
342,2,7,4,3,6
343,5,6,1,5,2
344,4,1,5,7,2
345,3,2,6,5,3
346,4,3,2,1,4
347,6,5,5,3,3
348,4,5,4,4,4
349,6,3,6,6,7
350,5,3,1,4,2
351,3,5,3,6,7
352,4,6,5,3,7
353,7,5,7,6,2
354,5,2,3,2,2
355,4,6,7,3,5
356,5,5,7,3,4
357,1,4,6,5,2
358,3,4,4,6,7
359,3,5,5,5,3
360,3,5,1,6,6
361,7,4,6,7,2
362,6,3,2,3,7
363,4,1,3,2,1
364,3,7,5,6,5
365,3,1,2,3,3
366,5,7,2,6,4
367,7,4,6,1,4
368,7,3,6,7,3
369,3,2,1,5,5
370,6,6,7,1,2
371,3,6,3,4,4
372,4,5,3,3,4
373,5,2,4,7,5
374,5,7,1,4,4
375,3,6,5,7,6
376,4,5,6,1,1
377,1,3,3,4,2
378,5,1,7,7,6
379,2,5,3,3,2
380,1,3,7,1,2
381,3,6,3,3,7
382,6,4,6,5,5
383,6,2,3,6,7
384,3,6,6,5,5
385,7,7,2,2,5
386,2,2,2,2,5
387,7,7,6,4,6
388,5,7,3,3,6
389,1,4,2,1,2
390,1,4,5,1,3
391,5,4,6,1,1
392,2,6,3,6,5
393,3,6,1,5,3
394,1,6,5,7,5
395,1,2,3,4,5
396,2,6,3,3,1
397,4,2,7,2,4
398,7,2,1,7,4
399,3,1,4,5,1
400,3,7,6,1,2
401,3,3,4,5,7
402,2,4,1,4,4
403,3,5,7,3,7
404,2,6,6,2,6
405,3,3,2,7,3
406,1,1,2,4,5
407,5,4,5,6,4
408,1,7,7,2,5
409,5,1,5,6,1
410,4,5,5,3,4
411,2,2,6,2,1
412,1,5,7,4,3
413,6,7,2,3,7
414,5,1,5,6,4
415,5,1,6,5,2
416,7,7,3,6,7
417,3,2,2,2,5
418,3,5,1,2,2
419,3,2,7,4,7
420,1,6,7,5,2
421,6,5,6,2,1
422,6,6,7,5,7
423,6,4,1,4,6
424,2,4,7,2,7
425,1,3,4,1,5
426,4,2,3,7,7
427,5,2,3,7,6
428,4,3,3,4,1
429,5,2,6,4,1
430,5,5,3,4,5
431,6,3,3,7,7
432,5,5,5,2,1
433,4,4,5,4,3
434,6,6,5,3,1
435,5,3,4,3,6
436,1,2,6,5,3
437,1,3,3,2,5
438,7,6,1,1,3
439,3,5,2,1,5
440,1,2,2,6,2
441,1,6,5,1,3
442,7,1,1,1,2
443,4,3,6,6,5
444,1,3,1,1,3
445,4,2,1,1,4
446,2,6,4,3,6
447,1,1,4,7,4
448,4,7,2,4,4
449,6,2,6,2,6
450,2,1,5,2,6
451,2,1,3,1,6
452,7,2,4,4,2
453,7,3,7,1,3
454,1,5,7,7,4
455,6,7,4,6,7
456,1,1,1,7,6
457,7,5,7,3,2
458,6,1,7,6,4
459,3,6,2,3,7
460,5,3,5,5,7
461,4,5,5,6,2
462,3,7,5,7,7
463,3,4,4,7,3
464,3,5,2,4,4
465,6,7,6,2,7
466,5,5,1,6,2
467,7,6,7,3,7
468,6,7,6,7,7
469,5,2,6,7,7
470,3,4,2,5,5
471,7,4,7,3,3
472,2,6,1,4,6
473,3,3,4,5,2
474,4,2,7,4,4
475,5,6,5,3,1
476,4,1,4,2,2
477,2,5,7,6,5
478,4,1,3,2,2
479,3,6,6,3,2
480,4,1,7,6,5
481,6,2,3,3,7
482,7,3,3,5,2
483,5,6,7,3,2
484,3,5,2,6,7
485,4,7,6,7,3
486,3,2,6,1,1
487,5,3,1,6,1
488,6,1,5,6,1
489,3,1,6,6,5
490,3,6,5,1,1
491,1,2,6,5,3
492,7,4,7,4,3
493,5,1,2,5,6
494,3,6,4,4,3
495,1,6,4,2,6
496,1,5,7,2,2
497,6,6,2,3,4
498,1,4,2,1,6
499,2,5,3,1,1
500,2,6,2,1,5
501,1,3,6,3,1
502,1,5,2,2,5
503,6,2,6,7,7
504,2,5,6,7,6
505,3,1,6,6,1
506,4,4,3,5,1
507,2,7,7,6,6
508,3,5,2,1,2
509,5,7,3,3,5
510,4,1,1,6,1
511,7,2,7,6,5
512,5,2,3,5,3
513,6,3,6,4,7
514,4,7,3,2,6
515,1,3,3,6,2
516,5,3,5,2,4
517,2,2,2,1,1
518,7,3,5,4,4
519,1,1,5,5,4
520,2,2,4,5,6
521,4,1,4,3,1
522,4,1,2,1,2
523,6,5,2,2,1
524,4,5,7,5,3
525,7,2,6,7,4
526,5,2,3,5,2
527,6,1,1,2,1
528,6,6,4,1,4
529,5,2,6,6,2
530,5,3,5,6,2
531,6,1,2,1,6
532,6,5,6,2,1
533,5,7,5,4,5
534,6,5,1,7,5
535,1,4,5,2,3
536,6,5,2,2,4
537,1,3,5,1,6
538,3,3,1,3,1
539,6,2,6,3,1
540,3,6,3,3,7
541,1,5,1,6,5
542,2,2,6,4,7
543,3,5,7,5,2
544,6,6,5,1,5
545,7,6,2,5,2
546,2,1,3,3,4
547,5,2,2,2,7
548,2,2,2,5,1
549,2,7,3,4,7
550,6,4,5,4,5
551,7,5,3,4,5
552,4,2,5,3,6
553,1,6,6,4,1
554,2,3,2,5,6
555,7,5,2,6,2
556,3,6,3,5,7
557,4,2,2,4,3
558,7,2,1,4,3
559,7,7,3,4,7
560,2,5,2,1,3
561,6,6,6,7,7
562,3,4,5,3,4
563,6,2,6,2,1
564,2,3,7,7,6
565,5,2,5,4,3
566,6,4,3,4,1
567,6,3,3,4,4
568,1,4,5,3,6
569,2,3,1,4,4
570,3,3,2,3,1
571,3,6,3,7,7
572,5,7,6,2,3
573,2,2,7,7,6
574,3,2,3,5,7
575,7,2,7,1,4
576,5,2,1,6,5
577,3,1,3,6,5
578,3,3,6,3,1
579,4,3,1,6,3
580,3,1,7,3,2
581,2,1,4,4,1
582,1,2,2,1,3
583,6,5,4,2,2
584,6,7,5,2,4
585,3,1,1,4,4
586,5,4,3,5,7
587,6,7,1,6,3
588,6,2,5,1,3
589,6,6,6,7,7
590,6,2,7,4,4
591,6,6,6,2,1
592,3,7,6,3,4
593,7,2,7,2,4
594,6,5,6,3,3
595,3,7,4,5,4
596,1,2,4,3,5
597,6,2,1,6,2
598,6,3,3,2,2
599,3,5,4,7,6
600,1,1,5,4,2
601,5,2,6,2,1
602,7,6,2,3,6
603,7,4,7,3,6
604,1,3,7,3,6
605,2,7,3,3,4
606,2,5,5,3,7
607,5,3,2,6,2
608,4,6,6,2,2
609,6,2,6,6,1
610,7,4,4,3,7
611,3,3,3,7,7
612,6,3,2,3,2
613,3,7,7,7,2
614,7,5,6,4,5
615,3,5,7,2,3
616,3,1,3,1,3
617,4,6,5,3,1
618,5,1,7,5,6
619,5,5,4,1,2
620,6,6,6,7,7
621,1,1,5,1,6
622,2,3,3,5,5
623,6,6,1,1,1
624,6,1,4,7,5
625,2,1,6,4,6
626,1,4,6,1,3
627,6,3,4,2,7
628,6,3,3,6,2
629,2,5,6,5,7
630,2,6,3,7,7
631,4,3,4,5,2
632,2,3,6,1,3
633,1,1,2,1,1
634,4,3,5,2,6
635,4,3,3,4,4
636,3,3,5,6,2
637,3,7,3,2,4
638,2,1,1,5,2
639,2,4,7,5,4
640,2,5,1,1,1
641,4,1,5,4,4
642,2,2,1,7,5
643,2,5,4,4,7
644,6,6,6,7,7
645,7,1,6,1,4
646,5,7,5,4,5
647,4,2,1,4,1
648,3,7,3,6,7
649,5,6,4,6,5
650,7,7,5,4,7
651,2,2,6,2,7
652,5,3,6,3,7
653,3,2,7,7,3
654,7,2,6,6,3
655,5,2,4,5,2
656,6,1,5,5,4
657,3,6,6,6,7
658,6,6,1,2,1
659,7,3,5,3,5
660,5,6,7,3,7
661,2,6,7,4,7
662,4,6,6,6,7
663,3,5,7,3,6
664,6,6,6,4,2
665,2,6,7,4,7
666,5,2,1,1,2
667,4,5,3,3,7
668,7,1,6,5,3
669,3,7,4,2,3
670,2,2,4,7,5
671,5,2,7,6,3
672,5,7,1,7,4
673,4,3,7,2,4
674,5,2,4,6,4
675,1,4,5,2,5
676,4,6,6,3,7
677,1,3,4,1,4
678,6,1,1,3,5
679,7,6,7,5,3
680,4,6,7,2,7
681,7,3,5,1,2
682,3,4,6,6,6
683,6,1,3,5,1
684,7,2,5,5,2
685,6,6,1,6,3
686,7,5,2,6,6
687,1,2,5,5,4
688,7,3,5,6,4
689,7,5,3,7,4
690,4,6,5,3,1
691,1,7,1,3,6
692,1,6,3,5,2
693,1,1,5,5,2
694,1,7,4,1,3
695,6,5,4,3,7
696,7,2,3,4,7
697,2,5,1,3,3
698,3,6,5,7,5
699,1,4,5,1,6
700,2,6,5,6,3
701,5,2,4,2,1
702,7,3,7,1,2
703,1,2,7,6,4
704,2,6,2,3,7
705,1,7,5,5,2
706,4,2,6,1,1
707,6,6,3,7,7
708,5,3,4,4,7
709,5,1,3,4,1
710,6,2,6,7,7
711,4,6,5,7,2
712,4,2,7,6,7
713,2,6,7,1,4
714,2,6,3,7,2
715,6,4,3,5,4
716,5,2,4,3,5
717,1,3,6,1,4
718,1,1,3,5,1
719,7,5,4,5,3
720,3,7,3,5,6
721,5,1,6,5,4
722,1,2,3,1,6
723,7,3,3,7,2
724,7,7,5,3,2
725,5,7,2,1,4
726,5,5,2,5,3
727,4,3,3,7,5
728,3,2,6,4,7
729,5,6,2,4,4
730,7,2,3,4,6
731,3,6,3,4,7
732,1,6,5,4,2
733,4,1,7,1,6
734,2,6,6,5,4
735,5,5,3,2,3
736,6,4,4,4,1
737,7,6,1,1,6
738,4,4,1,1,2
739,7,6,1,4,4
740,5,3,3,3,1
741,7,4,3,1,3
742,6,2,2,3,7
743,4,3,6,3,7
744,5,4,6,2,2
745,2,3,7,1,2
746,3,4,2,6,5
747,3,2,6,7,4
748,3,1,4,6,6
749,2,5,3,5,5
750,3,3,3,4,7
751,2,4,4,4,5
752,5,6,3,3,7
753,4,2,6,1,3
754,2,5,3,7,3
755,1,6,7,7,3
756,7,2,6,3,7
757,5,1,5,1,2
758,6,4,6,1,1
759,6,2,6,5,1
760,3,2,5,3,6
761,1,7,2,3,5
762,7,1,2,6,2
763,4,5,2,4,4
764,6,5,2,2,7
765,1,2,6,2,1
766,1,1,1,4,6
767,6,6,1,4,1
768,6,5,3,4,2
769,1,6,4,4,5
770,4,1,4,3,4
771,6,6,6,4,1
772,4,3,6,3,7
773,6,3,5,3,5
774,1,3,4,6,3
775,3,3,6,5,1
776,3,5,6,1,1
777,5,5,5,6,5
778,7,1,1,2,6
779,3,2,3,7,3
780,3,2,6,7,6
781,4,3,1,6,5
782,6,1,3,1,1
783,1,1,3,2,6
784,5,6,5,4,5
785,4,7,2,5,4
786,7,2,2,4,5
787,3,5,4,1,4
788,4,1,1,2,6
789,1,3,6,6,1
790,6,4,2,3,7
791,5,5,4,7,5
792,7,2,4,2,2
793,4,1,7,1,2
794,6,3,6,3,1
795,5,6,5,6,3
796,5,5,7,2,3
797,2,6,1,6,6
798,2,3,7,5,4
799,6,7,4,2,4
800,1,6,5,6,6
801,4,2,5,5,5
802,3,1,3,3,1
803,3,4,5,3,7
804,5,6,3,3,1
805,2,2,3,5,1
806,1,3,1,7,6
807,6,4,4,3,7
808,4,4,4,4,4
809,6,4,6,3,7
810,6,3,1,4,1
811,3,2,5,5,7
812,2,1,3,4,5
813,4,3,5,7,6
814,3,5,2,5,3
815,5,6,1,3,2
816,6,2,1,1,1
817,1,5,2,6,5
818,3,6,7,3,7
819,3,2,2,4,2
820,3,3,5,2,2
821,7,5,5,3,5
822,6,7,4,4,4
823,5,6,5,4,5
824,2,3,3,4,3
825,6,5,6,3,1
826,5,7,5,5,7
827,6,3,2,4,1
828,7,1,3,7,4
829,7,4,7,7,2
830,6,5,2,5,3
831,3,2,5,3,7
832,1,6,4,3,4
833,6,6,3,2,1
834,5,3,5,5,1
835,4,4,4,1,3
836,5,1,1,6,2
837,6,7,4,5,3
838,4,3,7,3,7
839,1,1,2,4,3
840,7,3,2,2,4
841,6,5,1,4,2
842,1,5,2,4,3
843,3,7,6,5,7
844,7,7,7,4,4
845,1,4,3,2,6
846,1,7,6,7,2
847,1,4,1,5,5
848,7,5,4,7,3
849,4,4,5,4,5
850,2,3,3,5,6
851,1,3,1,5,1
852,7,2,1,7,3
853,6,4,5,6,1
854,3,1,2,5,2
855,1,6,7,5,6
856,6,1,3,5,6
857,7,4,4,6,2
858,5,4,5,6,3
859,4,6,3,1,2
860,6,4,5,1,1
861,3,2,5,6,3
862,7,4,1,7,6
863,7,2,2,5,4
864,3,2,5,7,2
865,7,2,7,7,7
866,3,6,3,2,1
867,5,5,7,7,3
868,1,4,4,4,2
869,2,4,1,5,5
870,4,6,2,4,6
871,1,3,2,2,1
872,7,1,6,3,5
873,3,2,4,2,4
874,3,7,6,6,7
875,3,5,6,1,1
876,4,5,1,2,6
877,4,3,6,3,5
878,7,2,7,5,6
879,4,3,6,6,4
880,1,4,7,6,5
881,3,6,4,6,3
882,7,4,7,4,5
883,6,7,5,7,2
884,6,6,1,5,3
885,7,3,2,3,7
886,4,5,4,1,2
887,1,5,4,4,5
888,3,7,1,7,4
889,7,6,4,7,4
890,5,5,4,5,2
891,6,3,6,6,1
892,3,1,3,5,1
893,5,4,7,7,5
894,3,4,1,6,2
895,4,2,7,4,4
896,5,2,5,5,6
897,5,5,3,1,6
898,7,2,3,2,7
899,6,5,2,4,6
900,5,1,7,5,5
901,6,6,5,7,2
902,2,3,7,5,5
903,2,2,5,4,4
904,1,3,4,5,1
905,6,6,4,5,6
906,2,1,1,3,2
907,1,4,2,1,3
908,6,4,5,7,5
909,2,1,3,1,3
910,6,5,5,5,5
911,7,4,2,3,3
912,5,3,4,5,5
913,3,5,2,3,7
914,4,5,1,4,5
915,3,6,4,4,7
916,3,4,3,2,4
917,1,1,2,2,1
918,6,4,1,5,2
919,4,5,3,3,4
920,4,4,7,1,6
921,6,6,5,2,4
922,3,7,6,5,4
923,3,5,7,3,7
924,2,6,1,7,3
925,3,5,2,6,2
926,7,5,3,7,2
927,6,1,6,1,1
928,1,2,3,3,1
929,5,4,6,2,5
930,1,3,6,6,1
931,1,7,6,5,5
932,3,5,3,3,7
933,5,5,5,5,4
934,7,4,2,1,2
935,1,5,4,4,5
936,3,2,4,2,7
937,1,4,4,6,1
938,6,5,4,3,3
939,5,7,3,7,4
940,1,3,5,6,1
941,7,3,2,3,7
942,4,4,3,5,2
943,3,1,1,7,4
944,6,7,4,6,7
945,6,2,6,1,1
946,5,3,2,7,6
947,1,3,5,5,1
948,6,2,1,2,1
949,5,2,5,7,7
950,2,1,6,6,1
951,6,6,1,1,1
952,1,5,7,1,5
953,7,6,1,2,5
954,3,3,4,6,6
955,5,5,6,5,2
956,4,4,3,7,7
957,1,2,2,1,6
958,7,7,1,7,3
959,3,6,1,5,2
960,2,5,1,5,5
961,5,7,5,1,2
962,6,5,7,5,4
963,4,3,3,5,1
964,7,6,3,4,3
965,3,1,1,6,1
966,3,7,7,6,4
967,6,7,1,2,5
968,5,3,5,1,3
969,2,7,3,6,5
970,1,4,5,4,5
971,4,4,6,1,4
972,7,2,4,7,4
973,2,7,3,3,7
974,7,2,2,6,5
975,7,5,7,5,7
976,5,2,6,3,3
977,2,4,6,5,1
978,6,1,3,1,1
979,1,1,1,7,6
980,3,5,1,3,5
981,3,2,4,7,7
982,5,5,1,6,3
983,6,4,5,2,6
984,4,3,1,1,1
985,1,1,1,6,5
986,1,5,3,4,5
987,7,3,1,7,2
988,6,5,4,4,2
989,3,6,4,5,7
990,2,7,4,4,6
991,6,5,6,7,3
992,7,7,7,1,3
993,1,2,6,3,1
994,6,2,3,6,1
995,2,3,3,7,5
996,5,5,7,7,4
997,5,3,5,4,5
998,3,4,2,7,6
999,3,5,6,4,2
1000,1,2,5,1,1
